[17:50:43] [info] VEKTOR: GLFW Window hints set
[17:50:43] [info] VEKTOR: Creating window: Sandbox (1920, 1080)
[17:50:44] [info] VEKTOR: OpenGL Version: 4.1 Metal - 90.5
[17:50:44] [info] VEKTOR: GLSL Version: 4.10
[17:50:44] [info] VEKTOR: OpenGL context initialized successfully
[17:50:44] [info] APP: Setting event callback
[17:50:44] [info] VEKTOR: EditorLayer layer attached
[17:50:44] [error] VEKTOR: Instrumentor::beginSession('EditorLayer::OnUpdate') when session 'Runtime' already open.
[17:50:44] [trace] VEKTOR: Delta time: 2.0861626e-07 seconds
[17:50:44] [trace] VEKTOR: Delta time: 0.110067755 seconds
[17:50:44] [trace] VEKTOR: Delta time: 0.010006815 seconds
[17:50:44] [trace] VEKTOR: Delta time: 0.008812666 seconds
[17:50:44] [trace] VEKTOR: Delta time: 0.01634118 seconds
[17:50:44] [trace] VEKTOR: Delta time: 0.015424728 seconds
[17:50:44] [trace] VEKTOR: Delta time: 0.009543002 seconds
[17:50:44] [trace] VEKTOR: Delta time: 0.0072396994 seconds
[17:50:44] [trace] VEKTOR: Delta time: 0.008820713 seconds
[17:50:44] [trace] VEKTOR: Delta time: 0.0074895024 seconds
[17:50:44] [trace] VEKTOR: Delta time: 0.008034229 seconds
[17:50:44] [trace] VEKTOR: Delta time: 0.008753777 seconds
[17:50:44] [trace] VEKTOR: Delta time: 0.0045394897 seconds
[17:50:44] [trace] VEKTOR: Delta time: 0.011964381 seconds
[17:50:44] [trace] VEKTOR: Delta time: 0.0047301054 seconds
[17:50:44] [trace] VEKTOR: Delta time: 0.012013197 seconds
[17:50:44] [trace] VEKTOR: Delta time: 0.0040519834 seconds
[17:50:44] [trace] VEKTOR: Delta time: 0.01257652 seconds
[17:50:44] [trace] VEKTOR: Delta time: 0.0060777664 seconds
[17:50:44] [trace] VEKTOR: Delta time: 0.010563433 seconds
[17:50:44] [trace] VEKTOR: Delta time: 0.004674375 seconds
[17:50:44] [trace] VEKTOR: Delta time: 0.012129247 seconds
[17:50:44] [trace] VEKTOR: Delta time: 0.004550457 seconds
[17:50:44] [trace] VEKTOR: Delta time: 0.012062728 seconds
[17:50:44] [trace] VEKTOR: Delta time: 0.0045562983 seconds
[17:50:44] [trace] VEKTOR: Delta time: 0.011998713 seconds
[17:50:44] [trace] VEKTOR: Delta time: 0.004791975 seconds
[17:50:44] [trace] VEKTOR: Delta time: 0.012087584 seconds
[17:50:44] [trace] VEKTOR: Delta time: 0.0047010183 seconds
[17:50:44] [trace] VEKTOR: Delta time: 0.011982381 seconds
[17:50:44] [trace] VEKTOR: Delta time: 0.005175352 seconds
[17:50:44] [trace] VEKTOR: Delta time: 0.0113253 seconds
